train_function torch.Size([226, 12, 25]) torch.Size([226])
train_function torch.Size([451, 12, 25]) torch.Size([451])
train_function torch.Size([677, 12, 25]) torch.Size([677])
test_function torch.Size([225, 12, 25]) torch.Size([225])
train_function torch.Size([902, 12, 25]) torch.Size([902])
train_function torch.Size([1128, 12, 25]) torch.Size([1128])
train_function torch.Size([1354, 12, 25]) torch.Size([1354])
test_function torch.Size([450, 12, 25]) torch.Size([450])
train_function torch.Size([1579, 12, 25]) torch.Size([1579])
train_function torch.Size([1805, 12, 25]) torch.Size([1805])
train_function torch.Size([2030, 12, 25]) torch.Size([2030])
test_function torch.Size([676, 12, 25]) torch.Size([676])
train_function torch.Size([2255, 12, 25]) torch.Size([2255])
train_function torch.Size([2480, 12, 25]) torch.Size([2480])
train_function torch.Size([2705, 12, 25]) torch.Size([2705])
test_function torch.Size([902, 12, 25]) torch.Size([902])
train_function torch.Size([2931, 12, 25]) torch.Size([2931])
train_function torch.Size([3157, 12, 25]) torch.Size([3157])
train_function torch.Size([3383, 12, 25]) torch.Size([3383])
test_function torch.Size([1128, 12, 25]) torch.Size([1128])
train_function torch.Size([3609, 12, 25]) torch.Size([3609])
train_function torch.Size([3835, 12, 25]) torch.Size([3835])
train_function torch.Size([4061, 12, 25]) torch.Size([4061])
test_function torch.Size([1354, 12, 25]) torch.Size([1354])
train_function torch.Size([4286, 12, 25]) torch.Size([4286])
train_function torch.Size([4512, 12, 25]) torch.Size([4512])
train_function torch.Size([4738, 12, 25]) torch.Size([4738])
test_function torch.Size([1580, 12, 25]) torch.Size([1580])
train_function torch.Size([4963, 12, 25]) torch.Size([4963])
train_function torch.Size([5189, 12, 25]) torch.Size([5189])
train_function torch.Size([5415, 12, 25]) torch.Size([5415])
test_function torch.Size([1806, 12, 25]) torch.Size([1806])
train_function torch.Size([5640, 12, 25]) torch.Size([5640])
train_function torch.Size([5866, 12, 25]) torch.Size([5866])
train_function torch.Size([6091, 12, 25]) torch.Size([6091])
test_function torch.Size([2032, 12, 25]) torch.Size([2032])
train_function torch.Size([6317, 12, 25]) torch.Size([6317])
train_function torch.Size([6543, 12, 25]) torch.Size([6543])
>>>>>> test_loss <<<<<< epoch 0 68610.03125
>>>>>> test_loss <<<<<< epoch 10 1056.7457275390625
>>>>>> test_loss <<<<<< epoch 20 1097.1485595703125
>>>>>> test_loss <<<<<< epoch 30 875.88671875
>>>>>> test_loss <<<<<< epoch 40 616.1898193359375
>>>>>> test_loss <<<<<< epoch 50 391.41937255859375
>>>>>> test_loss <<<<<< epoch 60 319.9737243652344
>>>>>> test_loss <<<<<< epoch 70 296.8765869140625
>>>>>> test_loss <<<<<< epoch 80 278.5108642578125
>>>>>> test_loss <<<<<< epoch 90 281.8557434082031
>>>>>> test_loss <<<<<< epoch 100 266.535400390625
>>>>>> test_loss <<<<<< epoch 110 259.0604248046875
>>>>>> test_loss <<<<<< epoch 120 253.25900268554688
>>>>>> test_loss <<<<<< epoch 130 258.8161926269531
>>>>>> test_loss <<<<<< epoch 140 257.97271728515625
>>>>>> test_loss <<<<<< epoch 150 244.9207763671875
>>>>>> test_loss <<<<<< epoch 160 241.94027709960938
>>>>>> test_loss <<<<<< epoch 170 249.6458282470703
>>>>>> test_loss <<<<<< epoch 180 235.0751953125
>>>>>> test_loss <<<<<< epoch 190 237.28897094726562
>>>>>> test_loss <<<<<< epoch 200 232.25363159179688
>>>>>> test_loss <<<<<< epoch 210 244.59811401367188
>>>>>> test_loss <<<<<< epoch 220 227.9037628173828
>>>>>> test_loss <<<<<< epoch 230 229.87342834472656
>>>>>> test_loss <<<<<< epoch 240 223.53448486328125
>>>>>> test_loss <<<<<< epoch 250 229.5897216796875
>>>>>> test_loss <<<<<< epoch 260 222.95297241210938
>>>>>> test_loss <<<<<< epoch 270 229.98681640625
>>>>>> test_loss <<<<<< epoch 280 218.7991485595703
>>>>>> test_loss <<<<<< epoch 290 222.80201721191406
>>>>>> test_loss <<<<<< epoch 300 213.9761505126953
>>>>>> test_loss <<<<<< epoch 310 222.5183868408203
>>>>>> test_loss <<<<<< epoch 320 216.5834197998047
>>>>>> test_loss <<<<<< epoch 330 225.5084686279297
>>>>>> test_loss <<<<<< epoch 340 230.0372772216797
>>>>>> test_loss <<<<<< epoch 350 212.13601684570312
>>>>>> test_loss <<<<<< epoch 360 213.56216430664062
>>>>>> test_loss <<<<<< epoch 370 228.10765075683594
>>>>>> test_loss <<<<<< epoch 380 215.0781707763672
>>>>>> test_loss <<<<<< epoch 390 213.94102478027344
>>>>>> test_loss <<<<<< epoch 400 220.10879516601562
>>>>>> test_loss <<<<<< epoch 410 212.28782653808594
>>>>>> test_loss <<<<<< epoch 420 235.11001586914062
>>>>>> test_loss <<<<<< epoch 430 215.3976287841797
