train_function torch.Size([226, 12, 25]) torch.Size([226])
train_function torch.Size([451, 12, 25]) torch.Size([451])
train_function torch.Size([677, 12, 25]) torch.Size([677])
test_function torch.Size([225, 12, 25]) torch.Size([225])
train_function torch.Size([902, 12, 25]) torch.Size([902])
train_function torch.Size([1128, 12, 25]) torch.Size([1128])
train_function torch.Size([1354, 12, 25]) torch.Size([1354])
test_function torch.Size([450, 12, 25]) torch.Size([450])
train_function torch.Size([1579, 12, 25]) torch.Size([1579])
train_function torch.Size([1805, 12, 25]) torch.Size([1805])
train_function torch.Size([2030, 12, 25]) torch.Size([2030])
test_function torch.Size([676, 12, 25]) torch.Size([676])
train_function torch.Size([2255, 12, 25]) torch.Size([2255])
train_function torch.Size([2480, 12, 25]) torch.Size([2480])
train_function torch.Size([2705, 12, 25]) torch.Size([2705])
test_function torch.Size([902, 12, 25]) torch.Size([902])
train_function torch.Size([2931, 12, 25]) torch.Size([2931])
train_function torch.Size([3157, 12, 25]) torch.Size([3157])
train_function torch.Size([3383, 12, 25]) torch.Size([3383])
test_function torch.Size([1128, 12, 25]) torch.Size([1128])
train_function torch.Size([3609, 12, 25]) torch.Size([3609])
train_function torch.Size([3835, 12, 25]) torch.Size([3835])
train_function torch.Size([4061, 12, 25]) torch.Size([4061])
test_function torch.Size([1354, 12, 25]) torch.Size([1354])
train_function torch.Size([4286, 12, 25]) torch.Size([4286])
train_function torch.Size([4512, 12, 25]) torch.Size([4512])
train_function torch.Size([4738, 12, 25]) torch.Size([4738])
test_function torch.Size([1580, 12, 25]) torch.Size([1580])
train_function torch.Size([4963, 12, 25]) torch.Size([4963])
train_function torch.Size([5189, 12, 25]) torch.Size([5189])
train_function torch.Size([5415, 12, 25]) torch.Size([5415])
test_function torch.Size([1806, 12, 25]) torch.Size([1806])
train_function torch.Size([5640, 12, 25]) torch.Size([5640])
train_function torch.Size([5866, 12, 25]) torch.Size([5866])
train_function torch.Size([6091, 12, 25]) torch.Size([6091])
test_function torch.Size([2032, 12, 25]) torch.Size([2032])
train_function torch.Size([6317, 12, 25]) torch.Size([6317])
train_function torch.Size([6543, 12, 25]) torch.Size([6543])
>>>>>> test_loss <<<<<< epoch 0 71985.46875
>>>>>> test_loss <<<<<< epoch 10 1816.05859375
>>>>>> test_loss <<<<<< epoch 20 1249.90869140625
>>>>>> test_loss <<<<<< epoch 30 1040.298095703125
>>>>>> test_loss <<<<<< epoch 40 491.8504333496094
>>>>>> test_loss <<<<<< epoch 50 419.01409912109375
>>>>>> test_loss <<<<<< epoch 60 357.0609130859375
>>>>>> test_loss <<<<<< epoch 70 325.5067138671875
>>>>>> test_loss <<<<<< epoch 80 294.2174377441406
>>>>>> test_loss <<<<<< epoch 90 287.3944396972656
>>>>>> test_loss <<<<<< epoch 100 274.63568115234375
>>>>>> test_loss <<<<<< epoch 110 272.2965087890625
>>>>>> test_loss <<<<<< epoch 120 249.57266235351562
>>>>>> test_loss <<<<<< epoch 130 255.9098663330078
>>>>>> test_loss <<<<<< epoch 140 245.97698974609375
>>>>>> test_loss <<<<<< epoch 150 242.28675842285156
>>>>>> test_loss <<<<<< epoch 160 245.6196746826172
>>>>>> test_loss <<<<<< epoch 170 247.14231872558594
>>>>>> test_loss <<<<<< epoch 180 233.09413146972656
>>>>>> test_loss <<<<<< epoch 190 236.4861297607422
>>>>>> test_loss <<<<<< epoch 200 231.58209228515625
>>>>>> test_loss <<<<<< epoch 210 228.4612579345703
>>>>>> test_loss <<<<<< epoch 220 229.7565460205078
>>>>>> test_loss <<<<<< epoch 230 242.2319793701172
>>>>>> test_loss <<<<<< epoch 240 228.85752868652344
>>>>>> test_loss <<<<<< epoch 250 230.09805297851562
>>>>>> test_loss <<<<<< epoch 260 226.8871307373047
>>>>>> test_loss <<<<<< epoch 270 231.1318359375
>>>>>> test_loss <<<<<< epoch 280 224.990478515625
>>>>>> test_loss <<<<<< epoch 290 229.59317016601562
>>>>>> test_loss <<<<<< epoch 300 220.77090454101562
>>>>>> test_loss <<<<<< epoch 310 222.09994506835938
>>>>>> test_loss <<<<<< epoch 320 231.80038452148438
>>>>>> test_loss <<<<<< epoch 330 222.2019805908203
>>>>>> test_loss <<<<<< epoch 340 224.1305694580078
>>>>>> test_loss <<<<<< epoch 350 231.6111297607422
