train_function torch.Size([226, 12, 25]) torch.Size([226])
train_function torch.Size([451, 12, 25]) torch.Size([451])
train_function torch.Size([677, 12, 25]) torch.Size([677])
test_function torch.Size([225, 12, 25]) torch.Size([225])
train_function torch.Size([902, 12, 25]) torch.Size([902])
train_function torch.Size([1128, 12, 25]) torch.Size([1128])
train_function torch.Size([1354, 12, 25]) torch.Size([1354])
test_function torch.Size([450, 12, 25]) torch.Size([450])
train_function torch.Size([1579, 12, 25]) torch.Size([1579])
train_function torch.Size([1805, 12, 25]) torch.Size([1805])
train_function torch.Size([2030, 12, 25]) torch.Size([2030])
test_function torch.Size([676, 12, 25]) torch.Size([676])
train_function torch.Size([2255, 12, 25]) torch.Size([2255])
train_function torch.Size([2480, 12, 25]) torch.Size([2480])
train_function torch.Size([2705, 12, 25]) torch.Size([2705])
test_function torch.Size([902, 12, 25]) torch.Size([902])
train_function torch.Size([2931, 12, 25]) torch.Size([2931])
train_function torch.Size([3157, 12, 25]) torch.Size([3157])
train_function torch.Size([3383, 12, 25]) torch.Size([3383])
test_function torch.Size([1128, 12, 25]) torch.Size([1128])
train_function torch.Size([3609, 12, 25]) torch.Size([3609])
train_function torch.Size([3835, 12, 25]) torch.Size([3835])
train_function torch.Size([4061, 12, 25]) torch.Size([4061])
test_function torch.Size([1354, 12, 25]) torch.Size([1354])
train_function torch.Size([4286, 12, 25]) torch.Size([4286])
train_function torch.Size([4512, 12, 25]) torch.Size([4512])
train_function torch.Size([4738, 12, 25]) torch.Size([4738])
test_function torch.Size([1580, 12, 25]) torch.Size([1580])
train_function torch.Size([4963, 12, 25]) torch.Size([4963])
train_function torch.Size([5189, 12, 25]) torch.Size([5189])
train_function torch.Size([5415, 12, 25]) torch.Size([5415])
test_function torch.Size([1806, 12, 25]) torch.Size([1806])
train_function torch.Size([5640, 12, 25]) torch.Size([5640])
train_function torch.Size([5866, 12, 25]) torch.Size([5866])
train_function torch.Size([6091, 12, 25]) torch.Size([6091])
test_function torch.Size([2032, 12, 25]) torch.Size([2032])
train_function torch.Size([6317, 12, 25]) torch.Size([6317])
train_function torch.Size([6543, 12, 25]) torch.Size([6543])
>>>>>> test_loss <<<<<< epoch 0 69485.859375
>>>>>> test_loss <<<<<< epoch 10 875.3554077148438
>>>>>> test_loss <<<<<< epoch 20 879.5648193359375
>>>>>> test_loss <<<<<< epoch 30 776.2821044921875
>>>>>> test_loss <<<<<< epoch 40 596.74169921875
>>>>>> test_loss <<<<<< epoch 50 484.8092956542969
>>>>>> test_loss <<<<<< epoch 60 438.2367248535156
>>>>>> test_loss <<<<<< epoch 70 380.6498107910156
>>>>>> test_loss <<<<<< epoch 80 333.4176940917969
>>>>>> test_loss <<<<<< epoch 90 331.3962097167969
>>>>>> test_loss <<<<<< epoch 100 309.2005920410156
>>>>>> test_loss <<<<<< epoch 110 307.76953125
>>>>>> test_loss <<<<<< epoch 120 295.5180358886719
>>>>>> test_loss <<<<<< epoch 130 288.69525146484375
>>>>>> test_loss <<<<<< epoch 140 298.32568359375
>>>>>> test_loss <<<<<< epoch 150 277.8007507324219
>>>>>> test_loss <<<<<< epoch 160 281.6516418457031
>>>>>> test_loss <<<<<< epoch 170 272.80560302734375
>>>>>> test_loss <<<<<< epoch 180 273.3312072753906
>>>>>> test_loss <<<<<< epoch 190 259.6979675292969
>>>>>> test_loss <<<<<< epoch 200 256.7427978515625
>>>>>> test_loss <<<<<< epoch 210 273.61590576171875
>>>>>> test_loss <<<<<< epoch 220 261.1131286621094
>>>>>> test_loss <<<<<< epoch 230 260.6846008300781
>>>>>> test_loss <<<<<< epoch 240 258.15789794921875
>>>>>> test_loss <<<<<< epoch 250 261.13128662109375
>>>>>> test_loss <<<<<< epoch 260 247.9871063232422
>>>>>> test_loss <<<<<< epoch 270 256.4070129394531
>>>>>> test_loss <<<<<< epoch 280 250.37118530273438
>>>>>> test_loss <<<<<< epoch 290 252.64114379882812
>>>>>> test_loss <<<<<< epoch 300 245.67581176757812
>>>>>> test_loss <<<<<< epoch 310 242.9853515625
>>>>>> test_loss <<<<<< epoch 320 235.99002075195312
>>>>>> test_loss <<<<<< epoch 330 249.6939239501953
>>>>>> test_loss <<<<<< epoch 340 239.06570434570312
>>>>>> test_loss <<<<<< epoch 350 233.45330810546875
>>>>>> test_loss <<<<<< epoch 360 236.8897247314453
>>>>>> test_loss <<<<<< epoch 370 246.5721893310547
>>>>>> test_loss <<<<<< epoch 380 230.42572021484375
>>>>>> test_loss <<<<<< epoch 390 233.36050415039062
>>>>>> test_loss <<<<<< epoch 400 225.02194213867188
>>>>>> test_loss <<<<<< epoch 410 232.95457458496094
>>>>>> test_loss <<<<<< epoch 420 230.33151245117188
>>>>>> test_loss <<<<<< epoch 430 254.44334411621094
>>>>>> test_loss <<<<<< epoch 440 224.73822021484375
>>>>>> test_loss <<<<<< epoch 450 226.02658081054688
>>>>>> test_loss <<<<<< epoch 460 222.81288146972656
>>>>>> test_loss <<<<<< epoch 470 222.86618041992188
>>>>>> test_loss <<<<<< epoch 480 224.0879669189453
>>>>>> test_loss <<<<<< epoch 490 229.07955932617188
>>>>>> test_loss <<<<<< epoch 500 240.900634765625
>>>>>> test_loss <<<<<< epoch 510 220.44378662109375
>>>>>> test_loss <<<<<< epoch 520 224.55569458007812
>>>>>> test_loss <<<<<< epoch 530 219.42611694335938
>>>>>> test_loss <<<<<< epoch 540 221.6757049560547
>>>>>> test_loss <<<<<< epoch 550 213.64028930664062
>>>>>> test_loss <<<<<< epoch 560 211.92233276367188
