train_function torch.Size([221, 12, 25]) torch.Size([221])
train_function torch.Size([441, 12, 25]) torch.Size([441])
train_function torch.Size([662, 12, 25]) torch.Size([662])
test_function torch.Size([220, 12, 25]) torch.Size([220])
train_function torch.Size([882, 12, 25]) torch.Size([882])
train_function torch.Size([1103, 12, 25]) torch.Size([1103])
train_function torch.Size([1324, 12, 25]) torch.Size([1324])
test_function torch.Size([440, 12, 25]) torch.Size([440])
train_function torch.Size([1544, 12, 25]) torch.Size([1544])
train_function torch.Size([1765, 12, 25]) torch.Size([1765])
train_function torch.Size([1985, 12, 25]) torch.Size([1985])
test_function torch.Size([661, 12, 25]) torch.Size([661])
train_function torch.Size([2205, 12, 25]) torch.Size([2205])
train_function torch.Size([2425, 12, 25]) torch.Size([2425])
train_function torch.Size([2645, 12, 25]) torch.Size([2645])
test_function torch.Size([882, 12, 25]) torch.Size([882])
train_function torch.Size([2866, 12, 25]) torch.Size([2866])
train_function torch.Size([3087, 12, 25]) torch.Size([3087])
train_function torch.Size([3308, 12, 25]) torch.Size([3308])
test_function torch.Size([1103, 12, 25]) torch.Size([1103])
train_function torch.Size([3529, 12, 25]) torch.Size([3529])
train_function torch.Size([3750, 12, 25]) torch.Size([3750])
train_function torch.Size([3971, 12, 25]) torch.Size([3971])
test_function torch.Size([1324, 12, 25]) torch.Size([1324])
train_function torch.Size([4191, 12, 25]) torch.Size([4191])
train_function torch.Size([4412, 12, 25]) torch.Size([4412])
train_function torch.Size([4633, 12, 25]) torch.Size([4633])
test_function torch.Size([1545, 12, 25]) torch.Size([1545])
train_function torch.Size([4853, 12, 25]) torch.Size([4853])
train_function torch.Size([5074, 12, 25]) torch.Size([5074])
train_function torch.Size([5295, 12, 25]) torch.Size([5295])
test_function torch.Size([1766, 12, 25]) torch.Size([1766])
train_function torch.Size([5515, 12, 25]) torch.Size([5515])
train_function torch.Size([5736, 12, 25]) torch.Size([5736])
train_function torch.Size([5956, 12, 25]) torch.Size([5956])
test_function torch.Size([1987, 12, 25]) torch.Size([1987])
train_function torch.Size([6177, 12, 25]) torch.Size([6177])
train_function torch.Size([6398, 12, 25]) torch.Size([6398])
>>>>>> test_loss <<<<<< epoch 0 72420.9453125
>>>>>> test_loss <<<<<< epoch 10 1663.77490234375
>>>>>> test_loss <<<<<< epoch 20 1181.15966796875
>>>>>> test_loss <<<<<< epoch 30 1199.861328125
>>>>>> test_loss <<<<<< epoch 40 725.1942138671875
>>>>>> test_loss <<<<<< epoch 50 503.9949645996094
>>>>>> test_loss <<<<<< epoch 60 485.2536315917969
>>>>>> test_loss <<<<<< epoch 70 445.2906188964844
>>>>>> test_loss <<<<<< epoch 80 395.1803283691406
>>>>>> test_loss <<<<<< epoch 90 359.92919921875
>>>>>> test_loss <<<<<< epoch 100 366.9320983886719
>>>>>> test_loss <<<<<< epoch 110 331.36724853515625
>>>>>> test_loss <<<<<< epoch 120 330.5392150878906
>>>>>> test_loss <<<<<< epoch 130 305.3446044921875
>>>>>> test_loss <<<<<< epoch 140 284.2245788574219
>>>>>> test_loss <<<<<< epoch 150 278.1466369628906
>>>>>> test_loss <<<<<< epoch 160 279.869140625
>>>>>> test_loss <<<<<< epoch 170 283.139892578125
>>>>>> test_loss <<<<<< epoch 180 268.64825439453125
>>>>>> test_loss <<<<<< epoch 190 262.1036682128906
>>>>>> test_loss <<<<<< epoch 200 259.8451843261719
>>>>>> test_loss <<<<<< epoch 210 257.29248046875
>>>>>> test_loss <<<<<< epoch 220 250.56163024902344
>>>>>> test_loss <<<<<< epoch 230 261.2970275878906
>>>>>> test_loss <<<<<< epoch 240 253.12716674804688
>>>>>> test_loss <<<<<< epoch 250 249.48382568359375
>>>>>> test_loss <<<<<< epoch 260 252.18812561035156
>>>>>> test_loss <<<<<< epoch 270 247.01914978027344
>>>>>> test_loss <<<<<< epoch 280 245.04270935058594
>>>>>> test_loss <<<<<< epoch 290 243.18505859375
>>>>>> test_loss <<<<<< epoch 300 239.9356689453125
>>>>>> test_loss <<<<<< epoch 310 251.4224090576172
>>>>>> test_loss <<<<<< epoch 320 245.82818603515625
>>>>>> test_loss <<<<<< epoch 330 241.05596923828125
>>>>>> test_loss <<<<<< epoch 340 235.73699951171875
>>>>>> test_loss <<<<<< epoch 350 244.0133514404297
